,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate
0,HK.00700,2015-01-02 00:00:00,112.16,111.36,112.16,109.86,44.248,0.001,10862542,1220211584.0,-0.446
1,HK.00700,2015-01-05 00:00:00,112.06,112.06,113.86,111.36,44.522,0.002,21808993,2486086912.0,0.628
2,HK.00700,2015-01-06 00:00:00,112.56,118.56,119.06,112.16,47.073,0.004,43678255,5141581312.0,5.8
3,HK.00700,2015-01-07 00:00:00,122.06,122.96,123.06,121.16,48.798,0.004,40863410,5057406976.0,3.711
4,HK.00700,2015-01-08 00:00:00,126.06,125.86,126.36,124.16,49.936,0.003,35638986,4519758848.0,2.358
5,HK.00700,2015-01-09 00:00:00,127.56,125.76,127.56,125.06,49.896,0.003,31842127,4069000192.0,-0.079
6,HK.00700,2015-01-12 00:00:00,127.56,125.66,127.56,124.76,49.858,0.001,17880972,2282035968.0,-0.079
7,HK.00700,2015-01-13 00:00:00,123.86,126.36,126.86,123.76,50.131,0.001,16843125,2132819968.0,0.557
8,HK.00700,2015-01-14 00:00:00,125.26,124.56,126.26,123.66,49.425,0.001,16843739,2125967616.0,-1.424
9,HK.00700,2015-01-15 00:00:00,123.76,125.46,125.56,122.66,49.778,0.001,16002378,2004988416.0,0.722
10,HK.00700,2015-01-16 00:00:00,123.56,120.46,123.56,120.16,47.818,0.002,25227234,3101842176.0,-3.985
11,HK.00700,2015-01-19 00:00:00,122.86,121.56,123.76,120.76,48.249,0.002,21595530,2670949888.0,0.913
12,HK.00700,2015-01-20 00:00:00,122.06,122.66,123.36,121.86,48.68,0.001,10194009,1265262080.0,0.904
13,HK.00700,2015-01-21 00:00:00,124.76,127.26,127.46,123.76,50.485,0.003,33788560,4325056512.0,3.75
14,HK.00700,2015-01-22 00:00:00,129.06,130.16,130.56,128.26,51.623,0.004,39063807,5131141632.0,2.278
15,HK.00700,2015-01-23 00:00:00,133.16,131.26,133.46,129.66,52.054,0.003,29965533,3985633536.0,0.845
16,HK.00700,2015-01-26 00:00:00,135.26,135.56,135.66,132.86,53.741,0.003,34952624,4756450816.0,3.275
17,HK.00700,2015-01-27 00:00:00,136.56,134.56,136.56,131.56,53.348,0.002,24455759,3309849088.0,-0.737
18,HK.00700,2015-01-28 00:00:00,135.46,135.46,135.56,133.26,53.701,0.001,16216906,2210620160.0,0.668
19,HK.00700,2015-01-29 00:00:00,134.56,133.16,134.96,132.36,52.799,0.001,14636100,1975268992.0,-1.697
20,HK.00700,2015-01-30 00:00:00,134.06,130.56,134.06,128.06,51.779,0.003,29375696,3861282304.0,-1.952
21,HK.00700,2015-02-02 00:00:00,128.46,134.36,135.36,128.46,53.284,0.001,17654028,2366613248.0,2.91
22,HK.00700,2015-02-03 00:00:00,134.06,133.66,135.86,131.56,53.009,0.001,14377641,1943465088.0,-0.52
23,HK.00700,2015-02-04 00:00:00,134.06,132.46,134.66,131.86,52.539,0.001,9499394,1279103872.0,-0.897
24,HK.00700,2015-02-05 00:00:00,135.56,133.76,135.56,131.56,53.049,0.001,18010768,2431559680.0,0.981
25,HK.00700,2015-02-06 00:00:00,135.36,132.76,135.36,132.56,52.657,0.001,10914852,1474924160.0,-0.747
26,HK.00700,2015-02-09 00:00:00,132.16,131.16,132.16,130.36,52.028,0.001,12443319,1651506176.0,-1.205
27,HK.00700,2015-02-10 00:00:00,131.16,131.56,132.56,130.56,52.186,0.001,14000857,1862360448.0,0.304
28,HK.00700,2015-02-11 00:00:00,132.56,130.16,132.56,129.96,51.637,0.001,12131156,1603931776.0,-1.064
29,HK.00700,2015-02-12 00:00:00,128.56,128.16,129.46,126.56,50.852,0.002,24028028,3110803968.0,-1.536
30,HK.00700,2015-02-13 00:00:00,128.16,128.76,130.86,127.66,51.088,0.001,15469704,2020402048.0,0.468
31,HK.00700,2015-02-16 00:00:00,128.66,129.06,130.86,128.56,51.205,0.001,10168868,1331246848.0,0.232
32,HK.00700,2015-02-17 00:00:00,128.56,129.36,130.56,128.56,51.323,0.0,8379920,1097939968.0,0.232
33,HK.00700,2015-02-18 00:00:00,129.66,128.46,129.96,128.06,50.97,0.0,7286722,948242304.0,-0.695
34,HK.00700,2015-02-23 00:00:00,131.26,133.36,133.86,129.66,52.893,0.002,24232835,3231159040.0,3.814
35,HK.00700,2015-02-24 00:00:00,134.56,133.66,134.96,132.36,53.009,0.001,17218597,2322235392.0,0.224
36,HK.00700,2015-02-25 00:00:00,132.56,134.36,134.96,132.16,53.284,0.002,18941918,2563308800.0,0.523
37,HK.00700,2015-02-26 00:00:00,132.86,134.16,134.96,132.86,53.206,0.002,21657792,2937660416.0,-0.148
38,HK.00700,2015-02-27 00:00:00,134.56,134.46,135.26,133.26,53.324,0.001,17961525,2445592576.0,0.223
